,Name,Corr,dx/sx,Cons/prog,Ind/col,Flame,Agreeableness,Conscientiousness,Em Stability,Extroversion,Openness,Social Use
0,R_xGAVvdhvteIuT3b,0.7295624647347204,86,2,39,58,23.5,41.5,2.5,33.0,39.5,14.833333333333334
1,R_tScCVFecr6dlXGN,0.6435910176453534,30,2,6,40,16.5,61.0,35.5,11.0,82.5,25.5
2,R_rlrvLDsyqZxBbXP,0.6891002072716058,48,21,37,21,70.5,45.5,41.5,45.0,39.0,19.166666666666668
3,R_qF6YsqjzCmyMGNb,0.2357206164434195,21,81,48,51,88.5,37.0,21.5,20.0,17.5,38.833333333333336
4,R_pofupKms0WblSQV,0.7446526429068373,99,9,45,21,85.0,54.0,35.0,64.5,74.0,69.66666666666667
5,R_pH0SbKbwwDBLKQF,0.5080989445671664,30,4,69,22,10.5,60.5,67.0,14.5,64.0,18.0
6,R_ebdqL0VlEIL6XUR,0.4696105875258564,86,5,7,8,77.0,81.5,1.0,29.5,86.0,51.333333333333336
7,R_eQjdQQwDBfbCnQt,0.4768960758533881,48,16,36,4,58.0,52.0,51.5,12.5,56.0,12.0
8,R_e9tPAFy96KZQlrz,0.3981847648158795,69,3,2,17,19.5,45.0,62.0,16.5,80.5,61.16666666666666
9,R_cSxlUxA0nNW9oJP,0.5405506595439897,71,23,41,33,69.0,52.5,11.5,15.0,75.0,71.5
10,R_cSkC0WYSk5BDIu5,0.51555466452171,63,33,51,1,39.0,69.0,23.5,3.5,89.0,1.0
11,R_b0WP94xjPTrB4XL,0.4941636674290659,48,1,16,4,22.0,38.5,65.0,15.0,77.5,23.666666666666668
12,R_ZyIOm9jUJzXiwVz,0.6973891091524904,69,25,16,4,52.5,23.5,79.5,14.5,46.0,44.5
13,R_YSKZPjFQgkbInOF,0.4233941593267879,25,35,36,18,40.0,81.5,44.5,66.5,47.5,15.333333333333334
14,R_Xq6fjy65aEpGtjz,0.5654931659099763,50,1,2,8,21.5,57.0,32.0,33.0,87.5,51.833333333333336
15,R_XRmT6PKstlkXYuR,0.670832089779919,55,2,24,40,45.0,33.0,32.5,65.0,70.5,24.0
